"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Создание рецепта","3","0","Успешное создание рецепта","0"
"0","","0","Авторизация пользователя","1","0","Успешная авторизация пользователя","0"
"0","","0","Создание аккаунта","1","0","Успешное создание аккаунта","0"
