"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5909","Число ингредиентов: 6","tests","Thu Apr 10 13:32:31 GET 2025","passed","Thu Apr 10 13:32:37 GET 2025","TestCreateRecipe","test_create_recipe","",""
"","8905","Число ингредиентов: 10","tests","Thu Apr 10 13:32:44 GET 2025","passed","Thu Apr 10 13:32:53 GET 2025","TestCreateRecipe","test_create_recipe","",""
"","2976","Число ингредиентов: 2","tests","Thu Apr 10 13:32:13 GET 2025","passed","Thu Apr 10 13:32:16 GET 2025","TestCreateRecipe","test_create_recipe","",""
"","1234","test_authorisation","tests","Thu Apr 10 13:32:59 GET 2025","passed","Thu Apr 10 13:33:00 GET 2025","TestAuthorisation","test_user_authorisation","",""
"","2442","test_create_account","tests","Thu Apr 10 13:32:04 GET 2025","passed","Thu Apr 10 13:32:06 GET 2025","TestCreateAccount","test_create_account","",""
